sr_no,date,startup_name,industry_vertical,subvertical,city_location,investors_name,investment_type,amount_in_usd,remarks,city_clean,industry_clean,amount_clean,date_clean
2751,30/06/2015,Flatchat,Flat rental Mobile App,Unknown,Bengaluru,Commonfloor,Private Equity,"25,00,000",Strategic Funding,Bengaluru,Flat rental Mobile App,2500000,6/30/2015
2752,30/06/2015,MyCFO,Wealth Management Platform,Unknown,Mumbai,Sameer Koticha,Private Equity,"15,00,000",Series A,Mumbai,Wealth Management Platform,1500000,6/30/2015
2753,1/5/2015,Foodpanda,Online Food Delivery,Unknown,Gurugram,"Goldman Sachs, Rocket Internet",Private Equity,"10,00,00,000",Series D,Gurugram,Online Food Delivery,100000000,5/1/2015
2754,1/5/2015,Termsheet,Fund Raising Platform,Unknown,Chennai,"Anand Vijay, Nipun Dureja, Satyajit Heeralal, Keith Rodricks, Gaurav Lochan, Azmul Haque, Nikhil Bagri",Seed Funding,"1,00,000",,Chennai,Fund Raising Platform,100000,5/1/2015
2755,4/5/2015,Applicate,Workforce Management Software,Unknown,Bengaluru,"Rishi Vasudev, Amit Gupta, Rajiv Nayan",Seed Funding,"5,50,000",,Bengaluru,Workforce Management Software,550000,5/4/2015
2756,4/5/2015,World Art Community,Online Art Marketplace,Unknown,Gurugram,Viraj Tyagi & others,Seed Funding,"2,00,000",,Gurugram,Online Art Marketplace,200000,5/4/2015
2757,4/5/2015,SpoonJoy,Online Food Delivery,Unknown,Bengaluru,SAIF Partners,Seed Funding,"10,00,000",,Bengaluru,Online Food Delivery,1000000,5/4/2015
2758,5/5/2015,Seed Schools,Affordable Education,Unknown,Hyderabad,Acumen Fund,Seed Funding,"6,50,000",,Hyderabad,Affordable Education,650000,5/5/2015
2759,5/5/2015,Ignis Careers,Career Development,Unknown,Hyderabad,Acumen Fund,Seed Funding,"2,50,000",,Hyderabad,Career Development,250000,5/5/2015
2760,5/5/2015,Square Yards,Real Estate Advisory,Unknown,Gurugram,Undisclosed Investors,Private Equity,"60,00,000",pre-Series A,Gurugram,Real Estate Advisory,6000000,5/5/2015
2761,5/5/2015,Fintellix,Banking Analytics Platform,Unknown,Bengaluru,"IDG Ventures, Sequoia Capital",Private Equity,"1,50,00,000",Series C,Bengaluru,Banking Analytics Platform,15000000,5/5/2015
2762,5/5/2015,Customer360,Customer Engagement Platform,Unknown,Mumbai,Vishwas Patel,Seed Funding,,,Mumbai,Customer Engagement Platform,,5/5/2015
2763,6/5/2015,Delhivery,Ecommerce Logistics,Unknown,Gurugram,"Tiger Global Management, Multiples Alternate Asset Management, Nexus Venture Partners, Times Internet",Private Equity,"8,50,00,000",Series D,Gurugram,Ecommerce Logistics,85000000,5/6/2015
2764,6/5/2015,Swiggy,Online Food Delivery,Unknown,Bengaluru,Norwest Venture Partners,Private Equity,"1,50,00,000",Series B,Bengaluru,Online Food Delivery,15000000,5/6/2015
2765,7/5/2015,Uniphore,Speech Recognition Solutions,Unknown,Chennai,"IDG Ventures, Kris Gopalakrishnan",Private Equity,,Series A,Chennai,Speech Recognition Solutions,,5/7/2015
2766,7/5/2015,Box8,Online Food Delivery,Unknown,Mumbai,Mayfield Ventures,Private Equity,"35,00,000",Series A,Mumbai,Online Food Delivery,3500000,5/7/2015
2767,7/5/2015,Toppr,Online Education Platform,Unknown,Mumbai,"Fidelity Growth Partners India, SAIF Partners,\\xc2\\xa0 Helion Ventures",Private Equity,"1,00,00,000",Series B,Mumbai,Online Education Platform,10000000,5/7/2015
2768,7/5/2015,Vedantu,Online Education Platform,Unknown,Bengaluru,"Accel Partners, Tiger Global Management",Private Equity,"50,00,000",Series A,Bengaluru,Online Education Platform,5000000,5/7/2015
2769,8/5/2015,BuyHatke,Online Product Comparison,Unknown,Bengaluru,"S.Gopalakrishnan, Beenos",Seed Funding,"10,00,000",,Bengaluru,Online Product Comparison,1000000,5/8/2015
2770,8/5/2015,KleverKid,Online Education Platform,Unknown,New Delhi,Aarin Capital Partners,Seed Funding,,,New Delhi,Online Education Platform,,5/8/2015
2771,8/5/2015,Uniken,Online Security Platform,Unknown,Pune,Exfinity Ventures,Private Equity,"20,00,000",Bridge Round Pre-Series B,Pune,Online Security Platform,2000000,5/8/2015
2772,8/5/2015,GrandOpinion,Online Medical Diagnostic,Unknown,New Delhi,Florida based Angel investor,Seed Funding,"1,50,000",,New Delhi,Online Medical Diagnostic,150000,5/8/2015
2773,8/5/2015,HealthifyMe,Health & Fitness App,Unknown,Bengaluru,Micromax Informatics,Private Equity,,Strategic Investment,Bengaluru,Health & Fitness App,,5/8/2015
2774,12/5/2015,ZapStitch,Cloud Data Integration Platform,Unknown,Bengaluru,"Helion Venture Partners, Orios Venture Partners",Private Equity,"20,00,000",Pre-Series A,Bengaluru,Cloud Data Integration Platform,2000000,5/12/2015
2775,12/5/2015,Wassup,Mobile Laundry Cleaning Service,Unknown,Chennai,"Arun Chandra Mohan, Praveen Sinha",Private Equity,"20,00,000",Pre-Series A,Chennai,Mobile Laundry Cleaning Service,2000000,5/12/2015
2776,12/05.2015,Mobiefit,Mobile Fitness App,Unknown,Goa,Prototyze,Seed Funding,,,Goa,Mobile Fitness App,,5/12/2015
2777,12/05.2015,Plancess,Online Education Platform,Unknown,Mumbai,"Rajendra Gogri,\\xc2\\xa0 Chandrakant Gogri",Seed Funding,"20,00,000",,Mumbai,Online Education Platform,2000000,5/12/2015
2778,12/5/2015,WorkHorse,Service-On-Demand Mobile App,Unknown,Mumbai,Undisclosed Investors,Seed Funding,,,Mumbai,Service-On-Demand Mobile App,,5/12/2015
2779,13/05/2015,Innovaccer,Intelligent Data Analytics,Unknown,Noida,"Rajan Anandan, Teru Sato, Aneesh Reddy, Venkatesh Valluri",Seed Funding,,,Noida,Intelligent Data Analytics,,5/13/2015
2780,13/05/2015,MyCuteOffice,Online Office Rental,Unknown,Mumbai,Lead Angels,Seed Funding,,,Mumbai,Online Office Rental,,5/13/2015
2781,14/05/2015,IndianRoots.com,Lifestyle Ecommerce Portal,Unknown,Gurugram,KJS Group,Private Equity,"50,00,000",Series B,Gurugram,Lifestyle Ecommerce Portal,5000000,5/14/2015
2782,14/05/2015,RedPolka,Online Fashion Aggregator,Unknown,Mumbai,Undisclosed Investors,Seed Funding,"2,50,000",,Mumbai,Online Fashion Aggregator,250000,5/14/2015
2783,15/05/2015,Venturesity,Online Job skills Showcase,Unknown,Bengaluru,"Phanindra Sama, Jay Sethuram, Hemant Kanakia, Ravi Trivedi",Seed Funding,"2,70,000",,Bengaluru,Online Job skills Showcase,270000,5/15/2015
2784,18/05/2015,TheBetterIndia.com,Online News Media,Unknown,Bengaluru,Mohandas Pai,Seed Funding,,Pre-Series Bridge,Bengaluru,Online News Media,,5/18/2015
2785,18/05/2015,Awaaz De,Enterprise Communication Platform,Unknown,Ahmedabad,Samir Shah,Seed Funding,,,Ahmedabad,Enterprise Communication Platform,,5/18/2015
2786,19/05/2015,Chaayos,Offline Tea Chain,Unknown,New Delhi,Tiger Global Management,Private Equity,"10,00,000",Series A,New Delhi,Offline Tea Chain,1000000,5/19/2015
2787,19/05/2015,Akosha,Business Messaging App,Unknown,New Delhi,Sequoia Capital,Private Equity,"1,60,00,000",Series B,New Delhi,Business Messaging App,16000000,5/19/2015
2788,19/05/2015,Cooey,Health Mobile App,Unknown,Bengaluru,Subhash Goyal,Seed Funding,"4,70,000",,Bengaluru,Health Mobile App,470000,5/19/2015
2789,19/05/2015,MeetUniv,Online Ed-Tech Platform,Unknown,Noida,Peesh Venture Capital,Seed Funding,"10,00,000",,Noida,Online Ed-Tech Platform,1000000,5/19/2015
2790,19/05/2015,Inspirock,Online Travel Planning,Unknown,,MakeMyTrip Innovation Fund,Private Equity,,,Unknown,Online Travel Planning,,5/19/2015
2791,19/05/2015,Crown-it,Hyperlocal Mobile Marketplace,Unknown,Gurugram,"Accel Partners, Helion Venture Partners",Private Equity,"55,00,000",Series A,Gurugram,Hyperlocal Mobile Marketplace,5500000,5/19/2015
2792,19/05/2015,Trucksfirst,Trucking Logistic Operations,Unknown,Gurugram,SAIF partners,Private Equity,"1,00,00,000",Series A,Gurugram,Trucking Logistic Operations,10000000,5/19/2015
2793,20/05/2015,Lookup,B2C Messaging App,Unknown,Bengaluru,Biz Stone,Private Equity,"30,00,000",Series A,Bengaluru,B2C Messaging App,3000000,5/20/2015
2794,21/05/2015,SunTerrace,Rooftop Solar Plants,Unknown,New Delhi,Sunergy Investors,Private Equity,,,New Delhi,Rooftop Solar Plants,,5/21/2015
2795,22/05/2015,\\xc2\\xa0Nudgespot,Customer Engagement Platform,Unknown,Bengaluru,"Kae Capital, Anoop Goyal, Mike Shah, VA Sastry",Seed Funding,"6,25,000",,Bengaluru,Customer Engagement Platform,625000,5/22/2015
2796,22/05/2015,CarDekho,Online Car Portal,Unknown,Jaipur,HDFC Bank,Private Equity,,1% stake,Jaipur,Online Car Portal,,5/22/2015
2797,22/05/2015,EveningFlavors,Online Table Reservation,Unknown,Bengaluru,Sandiep Shrivatsava,Seed Funding,"5,00,000",,Bengaluru,Online Table Reservation,500000,5/22/2015
2798,25/05/2015,Razorpay,Online Payment Gateway,Unknown,Bengaluru,Punit Soni,Seed Funding,,,Bengaluru,Online Payment Gateway,,5/25/2015
