sr_no,date,startup_name,industry_vertical,subvertical,city_location,investors_name,investment_type,amount_in_usd,remarks,city_clean,industry_clean,amount_clean,date_clean
1,9/1/2020,BYJU’S,E-Tech,E-learning,Bengaluru,Tiger Global Management,Private Equity Round,"20,00,00,000",,Bengaluru,E-Tech,200000000,1/9/2020
2,13/01/2020,Shuttl,Transportation,App based shuttle service,Gurugram,Susquehanna Growth Equity,Series C,"80,48,394",,Gurugram,Transportation,8048394,1/13/2020
3,9/1/2020,Mamaearth,E-commerce,Retailer of baby and toddler products,Bengaluru,Sequoia Capital India,Series B,"1,83,58,860",,Bengaluru,E-Commerce,18358860,1/9/2020
4,2/1/2020,https://www.wealthbucket.in/,FinTech,Online Investment,New Delhi,Vinod Khatumal,Pre-series A,"30,00,000",,New Delhi,FinTech,3000000,1/2/2020
5,2/1/2020,Fashor,Fashion and Apparel,Embroiled Clothes For Women,Mumbai,Sprout Venture Partners,Seed Round,"18,00,000",,Mumbai,Fashion and Apparel,1800000,1/2/2020
6,13/01/2020,Pando,Logistics,"Open-market, freight management platform",Chennai,Chiratae Ventures,Series A,"90,00,000",,Chennai,Logistics,9000000,1/13/2020
7,10/1/2020,Zomato,Hospitality,Online Food Delivery Platform,Gurugram,Ant Financial,Private Equity Round,"15,00,00,000",,Gurugram,Hospitality,150000000,1/10/2020
8,12/12/2019,Ecozen,Technology,Agritech,Pune,Sathguru Catalyzer Advisors,Series A,"60,00,000",,Pune,Technology,6000000,12/12/2019
9,6/12/2019,CarDekho,E-Commerce,Automobile,Gurugram,Ping An Global Voyager Fund,Series D,"7,00,00,000",,Gurugram,E-Commerce,70000000,12/6/2019
10,3/12/2019,Dhruva Space,Aerospace,Satellite Communication,Bengaluru,"Mumbai Angels, Ravikanth Reddy",Seed,"5,00,00,000",,Bengaluru,Aerospace,50000000,12/3/2019
11,13/12/2019,Rivigo,Technology,Logistics Services and Solutions,Gurugram,"SAIF Partners, Spring Canter Investment Ltd.",Series F,"2,00,00,000",,Gurugram,Technology,20000000,12/13/2019
12,17/12/2019,Healthians,B2B-focused foodtech startup,Food Solutions For Corporate,Bengaluru,"Paytm, NPTK, Sabre Partners and Neoplux",Series C,"1,20,00,000",,Bengaluru,B2B-focused foodtech startup,12000000,12/17/2019
13,16/12/2019,Licious,E-Commerce,Online Meat And Seafood Ordering Startup,Bengaluru,Vertex Growth Fund,Series E,"3,00,00,000",,Bengaluru,E-Commerce,30000000,12/16/2019
14,16/12/2019,InCred,Finance,Non-Banking Financial Company,Mumbai,Unknown,Debt Funding,"59,00,000",,Mumbai,Finance,5900000,12/16/2019
15,14/12/2019,Trell,Video,Experience Discovery Platform,Bengaluru,Ruizheng Investment,Seed Round,"20,00,000",,Bengaluru,Video,2000000,12/14/2019
16,11/12/2019,Rein Games,Gaming,Real money based gaming startup,Noida,Manipal Education and Medical Group (MEMG),Seed Round,"5,00,00,000",,Noida,Gaming,50000000,12/11/2019
17,20/12/2019,Lenskart.com,E-Commerce,Online Eyewear Shopping Portal,Faridabad,SoftBank Vision Fund,Series G,"23,10,00,000",,Faridabad,E-Commerce,231000000,12/20/2019
18,13/11/2019,Freshworks,Software,Business and customer engagement tools,San Francisco,"Sequoia, CapitalG, Accel",Series H,"15,00,00,000",,San Francisco,Software,150000000,11/13/2019
19,14/11/2019,Misters,Health and wellness,Men's Health and Wellness brand,Gurugram,"Sauce.vc, Rainforest Ventures",Series B,"4,86,000",,Gurugram,Health and wellness,486000,11/14/2019
20,13/11/2019,Sunstone Eduversity Pvt. Ltd,Education,Elearning,Gurugram,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",Seed,"15,00,000",,Gurugram,Education,1500000,11/13/2019
21,17/11/2019,Burger Singh,Food and Beverage,Indian Burger Brand,Gurugram,RB Investments,Venture,undisclosed,,Gurugram,Food & Beverage,,11/17/2019
22,18/11/2019,Healthians,Health and Wellness,Healthcare services,Gurugram,"DG Daiwa Ventures, DG Incubation",Series B,"1,20,00,000",,Gurugram,Health and Wellness,12000000,11/18/2019
23,15/11/2019,Ninjacart,B2B Marketing,Agritech,Bengaluru,Trifecta Capital Advisors,Debt Funding,"2,60,00,000",,Bengaluru,B2B Marketing,26000000,11/15/2019
24,20/11/2019,Aye Finance,FinTech,Financial Services To MSMEs,Gurugram,FinTech,Debt Funding,"1,74,11,265",,Gurugram,FinTech,17411265,11/20/2019
25,12/11/2019,SuperGaming,Video Games,Social gaming platform,Pune,Dream Incubator,Seed Funding,"13,00,000",,Pune,Video Games,1300000,11/12/2019
26,20/11/2019,Clumio,SaaS,Recovery software,"San Jose,","Altimeter Capital, Sutter Hill Ventures",Series C,"13,50,00,000",,"San Jose,",SaaS,135000000,11/20/2019
27,11/11/2019,eBikeGo,Last Mile Transportation,Electric bike rental,Amritsar,Startup Buddy,Seed,"3,00,000",,Amritsar,Last Mile Transportation,300000,11/11/2019
28,19/11/2019,Digital Mall Asia,E-Commerce,Virtual e-commerce platform,New Delhi,Amour Infrastructure,Seed Funding,"22,00,00,000",,New Delhi,E-Commerce,220000000,11/19/2019
29,18/11/2019,Medikabazaar,Healthcare,B2B platform for medical supplies,Mumbai,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing",Series B,"1,58,00,000",,Mumbai,Healthcare,15800000,11/18/2019
30,15/11/2019,Vogo Automotive,Last Mile Transportation,Scooter sharing app,Bengaluru,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",Series B,"28,30,00,000",,Bengaluru,Last Mile Transportation,283000000,11/15/2019
31,19/11/2019,Furtados School of Music,Education,Music Education,Tulangan,IAN Fund and DSG Consumer Partners,Unknown,"20,00,00,000",,Tulangan,Education,200000000,11/19/2019
32,25/11/2019,Paytm,FinTech,Mobile Wallet,Noida,Vijay Shekhar Sharma,Funding Round,"1,00,00,00,000",,Noida,FinTech,1000000000,11/25/2019
33,4/10/2019,Dunzo,Customer Service,Delivery Service,Bengaluru,Lightbox,Series D,"4,50,00,000",,Bengaluru,Customer Service,45000000,10/4/2019
34,2/10/2019,Udaan,B2B,Business development,Bengaluru,"Altimeter Capital, DST Global",Series D,"58,50,00,000",,Bengaluru,B2B,585000000,10/2/2019
35,21/10/2019,The Man Company,Consumer Goods,Beauty and Grooming,Gurugram,Ayushmann Khurana,Corporate Round,unknown,,Gurugram,Consumer Goods,,10/21/2019
36,5/9/2019,FPL Technologies,FinTech,Financial Services,Pune,"Matrix Partners India, Sequoia India",Maiden Round,"45,00,000",,Pune,FinTech,4500000,9/5/2019
37,4/9/2019,Cashflo,FinTech,Invoice discounting platform and SME lending marketplace,Mumbai,SAIF Partners,Series A,"33,00,000",,Mumbai,FinTech,3300000,9/4/2019
38,4/9/2019,Digital F5,"Advertising, Marketing",Digital marketing firm,Mumbai,TIW Private Equity,Private Equity Round,"60,00,000",,Mumbai,"Advertising, Marketing",6000000,9/4/2019
39,4/9/2019,3rdFlix,SaaS,Education Technology,Hyderabad,Exfinity Venture Partners,pre-series A,"50,00,000",,Hyderabad,SaaS,5000000,9/4/2019
40,4/9/2019,75F,IoT,Building automation system,Burnsville,Breakthrough Energy Ventures,Series A,"1,80,00,000",,Burnsville,IoT,18000000,9/4/2019
41,4/9/2019,Myelin Foundry,Information Technology,Deep-technology,Bengaluru,Endiya Partners,Seed,"10,00,000",,Bengaluru,Information Technology,1000000,9/4/2019
42,4/9/2019,Atomberg Technology,Consumer Technology,"Consumer Electronics, Home Appliances",Mumbai,A91 Partners,Series A,"1,00,00,000",,Mumbai,Consumer Technology,10000000,9/4/2019
43,4/9/2019,GOQii,Health and Wellness,Wearable Fitness Bands,Menlo Park,Bennett Coleman and Company Ltd (BCCL),Series C,"45,00,00,000",,Menlo Park,Health and Wellness,450000000,9/4/2019
44,3/9/2019,Vyapar App,Accounting,Mobile-based Accounting Software,Bengaluru,"India Quotient, Axilor Ventures",Series A,"50,00,000",,Bengaluru,Accounting,5000000,9/3/2019
45,1/8/2019,CarDekho,E-Commerce,Automotive,Gurugram,SC GG India Mobility Holdings LLC,Series C,"2,00,00,000",,Gurugram,E-Commerce,20000000,8/1/2019
46,1/8/2019,Progcap,Finance,Supply Chain Management,New Delhi,Sequoia India,Series A,"50,00,000",,New Delhi,Finance,5000000,8/1/2019
47,1/8/2019,MyPetrolPump,Retail,Fuel Delivery,Bengaluru,Unknown,Seed Funding Round,"16,00,000",,Bengaluru,Retail,1600000,8/1/2019
48,1/8/2019,Alteria Capital,Finance,VC Funds,Mumbai,"Azim Premji, Binny Bansal",Single Venture,"14,00,00,000",,Mumbai,Finance,140000000,8/1/2019
49,1/8/2019,Pine Labs,Information Technology,Last-mile retail transaction technology,Noida,Pine Labs Pte Ltd,Corporate Round,"3,80,80,000",,Noida,Information Technology,38080000,8/1/2019
50,12/8/2019,Meesho,E-Commerce,Social Commerce,Bengaluru,Naspers,Series D,"12,50,00,000",,Bengaluru,E-Commerce,125000000,8/12/2019
51,13/08/2019,Cars24,E-Commerce,Car Retail,Gurugram,MS Dhoni,Series D,"1,10,00,000",,Gurugram,E-Commerce,11000000,8/13/2019
52,13/08/2019,Uniphore,Customer Service Platform,Conversational AI,Palo Alto,March Capital Partners,Series C,"5,10,00,000",,Palo Alto,Customer Service Platform,51000000,8/13/2019
53,23/08/2019,Zendrive,Automotive,Road Safety Analytics,San Francisco,XL Innovate,Series B,"3,70,00,000",,San Francisco,Automobile,37000000,8/23/2019
54,23/08/2019,Lo! Foods,Consumer Goods,Low carb food for Diabetics,Bengaluru,"Rashmi Daga (founder, FreshMenu), Raveen Sastry (co-founder, Myntra) and Mitesh Shah (finance chief, BookMyShow)",Seed Round,"5,00,000",,Bengaluru,Consumer Goods,500000,8/23/2019
55,23/08/2019,Tala,FinTech,Digital Lending Platform,Santa Monica,RPS Ventures,Series D,"11,00,00,000",,Santa Monica,FinTech,110000000,8/23/2019
56,22/08/2019,INDwealth,FinTech,Wealth Management,Gurugram,Tiger Global Management,Venture Round,"1,50,00,000",,Gurugram,FinTech,15000000,8/22/2019
57,21/08/2019,HungerBox,Food and Beverage,B2B Foodtech,Bengaluru,One97 Communications Ltd.,Series C,"65,90,000",,Bengaluru,Food & Beverage,6590000,8/21/2019
58,23/08/2019,AdmitKard,EdTech,University Admissions,Noida,Growth DNA,Seed Round,"10,00,000",,Noida,EdTech,1000000,8/23/2019
59,19/08/2019,Mishry Reviews,Services,Product Review,Gurugram,Vir Sanghvi,Series A,Undisclosed,,Gurugram,Services,,8/19/2019
60,19/08/2019,Grofers,E-Commerce,Grocery Delivery,Gurugram,Softbank Vision Fund,Series F,"7,00,00,000",,Gurugram,E-Commerce,70000000,8/19/2019
61,27/08/2019,Rapido Bike Taxi,Transportation,Bike Taxi,Bengaluru,Westbridge Capital,Series B,"3,90,00,00,000",,Bengaluru,Transportation,3900000000,8/27/2019
62,2/7/2019,RenewBuy,Finance,Auto Insurance,Gurugram,"Lok Capital, IIFL Wealth",Series B,"1,90,00,000",,Gurugram,Finance,19000000,7/2/2019
63,2/7/2019,Atlan,Information Technology,Big Data,Singapore,WaterBridge Ventures,Pre-Series A,"25,00,000",,Singapore,Information Technology,2500000,7/2/2019
64,1/7/2019,WizCounsel,Compliance,Consulting,New Delhi,Kapil Dev,Angel,"1,45,000",,New Delhi,Compliance,145000,7/1/2019
65,3/7/2019,Ola Cabs,Transport,Cabs,Bengaluru,"DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury",Series J,"10,00,000",,Bengaluru,Transportation,1000000,7/3/2019
66,1/7/2019,Uniphore,Artificial Intelligence,Speech Recognition,Chennai,March Capital Partners,Series C,"3,80,80,000",,Chennai,Artificial Intelligence,38080000,7/1/2019
67,4/7/2019,Daalchini Technologies,Food and Beverage,Digital Vending Machine,New Delhi,Artha Venture,Seed Round,"5,00,000",,New Delhi,Food & Beverage,500000,7/4/2019
68,10/7/2019,"""BYJU\\'S""",EdTech,Education,Bengaluru,Qatar Investment Authority,Private Equity Round,"15,00,00,000",,Bengaluru,EdTech,150000000,7/10/2019
69,11/7/2019,Moglix,E-Commerce,Industrial Tools and Equipments,Singapore,"Composite Capital Management, Sequoia Capital India, Tiger Global Management",Series D,"6,00,00,000",,Singapore,E-Commerce,60000000,7/11/2019
70,10/7/2019,Ezyhaul,Tech,Logistics,Singapore,Undisclosed,Series B,"1,60,00,000",,Singapore,Tech,16000000,7/10/2019
71,10/7/2019,Indus OS,Tech,Smartphone Operating System,Mumbai,Ventureast,Series B,"57,50,000",,Mumbai,Tech,5750000,7/10/2019
72,10/7/2019,HealthAssure,Health Care,Primary care medical network,Mumbai,Blume Ventures,Series A,"25,00,000",,Mumbai,Healthcare,2500000,7/10/2019
73,9/7/2019,House of Msasaba,Luxury Label,Clothes and Apparel,Mumbai,Binny Bansal,Series A,"10,00,000",,Mumbai,Luxury Label,1000000,7/9/2019
74,8/7/2019,Board Infinity,EdTech,Full-stack career platform,Mumbai,Multiple Angel Investors,Angel Round,"3,19,605",,Mumbai,EdTech,319605,7/8/2019
75,5/6/2019,NoBroker,E-Commerce,Real Estate,Bengaluru,General Atlantic,Series C,"5,10,00,000",,Bengaluru,E-Commerce,51000000,6/5/2019
76,4/6/2019,Bira91,Food and Beverage,Brewery,New Delhi,Anicut Capital,Debt Funding,"1,00,00,000",,New Delhi,Food & Beverage,10000000,6/4/2019
77,3/6/2019,FabHotels,E-Commerce,Hospitality,Gurugram,"Goldman Sachs, Accel Partners and Qualcomm",Unknown,"48,89,975.54",,Gurugram,E-Commerce,4889975.54,6/3/2019
78,3/6/2019,Avail Finance,Finance,FinTech,Bengaluru,Matrix Partners,Series A,"90,00,000",,Bengaluru,Finance,9000000,6/3/2019
79,4/6/2019,BharatPe,Finance,FinTech,New Delhi,Insight Partners,Series B,"7,50,00,000",,New Delhi,Finance,75000000,6/4/2019
80,4/6/2019,Recykal,Waste Management Service,Optimization,Hyderabad,"Triton Investment Advisors, Pidilite Industries director Ajay Parekh",pre-Series A,"2,60,00,000",,Hyderabad,Waste Management Service,26000000,6/4/2019
81,3/6/2019,Agara Labs,Deep-Tech,Artificial Intelligence,Bengaluru,Blume Ventures and RTP Global,pre-Series A,"25,00,000",,Bengaluru,Deep-Tech,2500000,6/3/2019
82,6/6/2019,Sistema.bio,Agriculture,Hybrid Reactor Biodigestor,Nairobi,"Shell Foundation, DILA CAPITAL, Engie RDE Fund, EcoEnterprise Fund, EDFIMC (ElectriFI), Endeavor Catalyst Fund, CoCapital, Triodos, Alpha Mundi, and Lendahand",Unknown,"27,39,034.68",,Nairobi,Agriculture,2739034.68,6/6/2019
83,6/6/2019,Chakr Innovation,Energy,Renewable Energy,New Delhi,IAN Fund,Series A,"2,60,00,000",,New Delhi,Energy,26000000,6/6/2019
84,6/6/2019,Pratilipi,Digital Media,E-Books,Bengaluru,Qiming Venture Partners,Series B,"1,51,09,500.00",,Bengaluru,Digital Media,15109500,6/6/2019
85,10/6/2019,Bolo App,Digital Media,Video Platform,Bengaluru,Nexus Venture Partners,Seed Funding,"4,30,200",,Bengaluru,Digital Media,430200,6/10/2019
86,10/6/2019,OkCredit,FinTech,Financial Services,Haryana,Tiger Global Management,Series A,"1,55,00,000",,Unknown,FinTech,15500000,6/10/2019
87,6/6/2019,Biz2Credit,FinTech,Online Lending Platform,New York,WestBridge Capital,Series B,"5,20,00,000",,New York,FinTech,52000000,6/6/2019
88,8/6/2019,Vogo Automotive Pvt. Ltd.,Transportation,Dockless Scooter Rental Company,Karnataka,Alteria Capital,Debt Funding,"35,84,000",,Unknown,Transportation,3584000,6/8/2019
89,4/6/2019,Leegality,Services,Digital Documentation,Mumbai/Bengaluru,Mumbai Angels,Series A,"34,00,000",,Mumbai,Services,3400000,6/4/2019
90,6/5/2019,Ola Electric,Transport,Cabs,Bengaluru,Tata Sons,Series A,undisclosed,,Bengaluru,Transportation,,5/6/2019
91,6/5/2019,Saahas Zero Waste,Waste Management Service,Optimization,Bengaluru,C4D Partners,Venture - Series Unknown,"8,68,600",,Bengaluru,Waste Management Service,868600,5/6/2019
92,5/5/2019,StyleDotMe,E-commerce,Fashion and Shopping,New Delhi,"Indian Angel Network and other angel investors, Innov8 founder Ritesh Malik, Josh Talks founders Supriya Paul and Shobha Banga, and former Hero Corporate president Rohit Chanana",Bridge Round,undisclosed,,New Delhi,E-Commerce,,5/5/2019
93,1/5/2019,BlackBuck,Transport,Logistics,Bengaluru,"Goldman Sachs Investment Partners and Silicon Valley-based Accel, Wellington, Sequoia Capital, B Capital, LightStreet, Sands Capital and International Finance Corporation,",Series D,"15,00,00,000",,Bengaluru,Transportation,150000000,5/1/2019
94,2/5/2019,Zenoti,Saas,Beauty and Wellness Industry,Hyderabad,Tiger Global Management,Series C,"5,00,00,000",,Hyderabad,SaaS,50000000,5/2/2019
95,28/05/2019,Ather Energy,Automobile,Electric Vehicle,Bengaluru,Sachin Bansal,Series C,"5,10,00,000",,Bengaluru,Automobile,51000000,5/28/2019
96,28/05/2019,FreshVnF,Agtech,Fresh Agriculture Produces,Mumbai,Equanimity Ventures,Seed Round,"14,00,00,000",,Mumbai,Agtech,140000000,5/28/2019
97,30/05/2019,GlowRoad,E-commerce,Retail,Bengaluru,"Korea Investment Partners, Vertex Ventures",Series B,"1,15,00,000",,Bengaluru,E-Commerce,11500000,5/30/2019
98,31/05/2019,Bira91,Food and Beverage,Brewery,New Delhi,Sixth Sense Ventures,Series B,"56,00,000",,New Delhi,Food & Beverage,5600000,5/31/2019
99,16/04/2019,Kuvera,Finance,Wealth Management,Bengaluru,Eight Roads,Series A,"4,50,00,000",,Bengaluru,Finance,45000000,4/16/2019
100,12/4/2019,Medlife,E-commerce,Online Medicine,Bengaluru,Prasid Uno Family Trust,Private Equity,"1,70,00,000",,Bengaluru,E-Commerce,17000000,4/12/2019
101,10/4/2019,Kabadiwala,E-commerce,Waste Management,Bhopal,"Unilever, Beehive Capital Advisor, ABCOM Investments, Parekh Marine Transport,",Private Equity,"4,30,665",,Bhopal,E-Commerce,430665,4/10/2019
102,13/04/2019,Tripoto,Social Media,Travel,New Delhi,"Orchid India, Hornbill Orchid India Fund, Chiratae Ventures (formerly IDG Ventures), 3one4 Capital, Lasmer NV",Series B,"35,91,375",,New Delhi,Social Media,3591375,4/13/2019
103,12/4/2019,Azah,Health and Wellness,Organic wellness,Gurugram,Unnamed angel investors,Seed Funding,"2,00,000",,Gurugram,Health and Wellness,200000,4/12/2019
104,11/4/2019,Setu,Fintech,Banking,Bengaluru,Lightspeed India Partners,Seed Funding,"35,00,000",,Bengaluru,FinTech,3500000,4/11/2019
105,10/4/2019,Toppr,Edtech,E-learning,Mumbai,Milestone,Debt and Preference capital,"63,20,820",,Mumbai,EdTech,6320820,4/10/2019
106,10/4/2019,Craftsvilla,E-commerce,Fashion and Apparel,Mumbai,Supera Pte Ltd,Inhouse Funding,"24,43,495",,Mumbai,E-Commerce,2443495,4/10/2019
107,10/4/2019,Unacademy,Edtech,E-learning,Bengaluru,Kalyan Krishnamurthy,Seed/ Angel Funding,"3,07,000",,Bengaluru,EdTech,307000,4/10/2019
108,11/4/2019,CleverTap,SaaS,Mobile analytics and marketing,Mumbai,"Sequoia India, Tiger Global Management, Accel Partners",Series B,"2,60,00,000",,Mumbai,SaaS,26000000,4/11/2019
109,19/04/2019,My Healthcare,E-commerce,Software Solutions,Bengaluru and Gurugram,Sixth Sense Ventures,Series A,"30,00,000",,Bengaluru,E-Commerce,3000000,4/19/2019
110,19/04/2019,KrazyBee,E-commerce,Lending Platform,Bengaluru,"BAC Acquisitions, Unifi AIF, BRD Securities, Northern R Capital",Debt,"14,342,000+",,Bengaluru,E-Commerce,14342000,4/19/2019
111,17/04/2019,Shuttl,Transportation,Bus Aggregation,Gurugram,New Atlantic Ventures,Venture Round,"50,00,000",,Gurugram,Transportation,5000000,4/17/2019
112,17/04/2019,Increff,Technology,Supply-chain technology solutions,Bengaluru,"021 Capita, Binny Bansal",Series A,"30,00,000",,Bengaluru,Technology,3000000,4/17/2019
113,1/2/2019,FleetX,AI,Logistics,Gurugram,India Quotient and LetsVenture\\xe2\\x80\\x99s Angel Fund,Pre Series A,Undisclosed,,Gurugram,AI,,2/1/2019
114,8/2/2019,Zilingo,Ecommerce,Fashion & Apparel,India/Singapore,"Sequoia Capital and Temasek Holdings, EDBI, Burda Principal Investments, and Sofina",Series D,"22,60,00,000",,Unknown,E-Commerce,226000000,2/8/2019
115,13/02/2019,NanoClean Global,Nanotechnology,Anti-Pollution,New Delhi,"LetsVenture, PitchRight Venture, 91SpringBoard, AL Nour International Holdings and Mark V Investments",Series A,"6,00,000",,New Delhi,Nanotechnology,600000,2/13/2019
116,14/02/2018,OyoRooms,Hospitality,Budget Rooms,Gurugram,DiDi Chuxing,Equity,"10,00,00,000",,Gurugram,Hospitality,100000000,2/14/2018
117,3/1/2019,CarDekho,Automobile,Online Marketplace,Jaipur,"Sequoia India, Hillhouse Capital, Alphabet\\xe2\\x80\\x99s growth investment arm Capital G and Axis Bank",Series C,"11,00,00,000",,Jaipur,Automobile,110000000,1/3/2019
118,4/1/2019,Vyome Therapeutics Inc.,Health and Wellness,Specialty pharmaceutical,India/US,"Iron Pillar, Perceptive Advisors, Romulus Capital and Kalaari Capital",Series D,"2,20,00,000",,Unknown,Health and Wellness,22000000,1/4/2019
119,4/1/2019,Samunnati Financial Intermediation & Services Pvt. Ltd,Finance,Non-banking financial company,Chennai,"MASSIF, a Dutch government fund",Debt-Funding,"50,00,000",,Chennai,Finance,5000000,1/4/2019
120,4/12/2018,Manch,Social Media,Hyperlocal Content,New Delhi,Stellaris Venture Partners,Seed Funding,"7,00,000",,New Delhi,Social Media,700000,12/4/2018
121,1/12/2018,UrbanClap Technologies Pvt. Ltd,Services Platform,Home services marketplace,New Delhi,Steadview Capital and Vy Capital.,Series D,"5,00,00,000",,New Delhi,Services Platform,50000000,12/1/2018
122,2/12/2018,Guiddoo,Travel Tech,Platform for travel agents,Mumbai,Individual Investors,Pre-Series A,"8,00,000",,Mumbai,Travel Tech,800000,12/2/2018
123,2/12/2018,Career Anna,Online Education,"Video-based certification, trainings",Gurugram,Individual Investors,Pre-Series A,"5,72,000",,Gurugram,Online Education,572000,12/2/2018
124,4/12/2018,Nagpur Wholesale,Online Marketplace,eCommerce,Nagpur,Omphalos Ventures India LLP,Seed Funding,"1,43,000",,Nagpur,Online Marketplace,143000,12/4/2018
125,6/12/2018,ShopKirana,B2B,eCommerce,Indore,"Info Edge, AET Fund, Akatsuki and Incubate Fund from Japan and Better Capital AngelList syndicate.",Seed Funding,"20,00,000",,Indore,B2B,2000000,12/6/2018
126,6/12/2018,BuildSupply,"SaaS, Ecommerce","Real Estate, ERP",Gurugram,"Venture Highway, GREE Ventures, Space Matrix, Individual Investors",Series A,"35,00,000",,Gurugram,"SaaS, Ecommerce",3500000,12/6/2018
127,1/11/2018,GoDesi,Food and Beverage,Regional Flavours,Bengaluru,Lead Angels Network,Seed/ Angel Funding,"1,38,995",,Bengaluru,Food & Beverage,138995,11/1/2018
128,3/11/2018,Veritas Finance Ltd.,NBFC,MSME Finance,Chennai,"Norwest Venture Partners, CDC Group, the UK\\xe2\\x80\\x99s Development Finance Institution and P Surendra Pai",Series D,"2,77,99,000",,Chennai,NBFC,27799000,11/3/2018
129,6/11/2018,Meesho,Ecommerce,Social Commerce,Bengaluru,"Shunwei Capital, DST Partners and RPS Ventures",Series C,"5,00,00,000",,Bengaluru,E-Commerce,50000000,11/6/2018
130,8/11/2018,Mobile Premier League,Gaming,Mobile e-Sports,Bengaluru,Undisclosed,Series A,"5,00,000",,Bengaluru,Gaming,500000,11/8/2018
131,8/11/2018,A&R Bon Vivants,Food,Meat Retail Chain,Jaipur,"RB Investments, Singapore",Equity,"10,00,000",,Jaipur,Food,1000000,11/8/2018
132,12/11/2018,Blackbuck,Food Tech,POS For Online Ordering,"New York, Bengaluru",Tiger Global,Series A,"10,00,000",,Bengaluru,Food Tech,1000000,11/12/2018
133,12/11/2018,MilkBAsket,Food,Micro-delivery grocery service,New Delhi,Mayfield Fund,Series B,"13,00,000",,New Delhi,Food,1300000,11/12/2018
134,13/11/2018,DriveU,Transport,On-Demand Drivers,Bengaluru,Stevens Creek Ventures,Mezzanine,"10,00,000",,Bengaluru,Transportation,1000000,11/13/2018
135,14/11/2018,CleanseCar,Services,Car Wash,Bengaluru,Venture Catalysts,Seed/ Angel Funding,"5,00,000",,Bengaluru,Services,500000,11/14/2018
136,19/11/2018,Automation Anywhere,Automation,Robotics,California,SoftBank Vision Fund,Series B,"30,00,00,000",,Unknown,Automation,300000000,11/19/2018
137,20/11/2018,HealthifyMe,Health and Wellness,Wellness Coach,Bengaluru,"Sistema Asia Fund, VC Samsung NEXT, Chiratae Ventures, Inventus Capital, Blume Ventures and Innoven Capital.",Series B (Extension),"60,00,000",,Bengaluru,Health and Wellness,6000000,11/20/2018
138,21/11/2018,Genius Corner,Education,Personalized Learning,Noida,Individual investors,Seed Funding,"2,78,000",,Noida,Education,278000,11/21/2018
139,22/11/2018,Aavishkaar-Intellecap Group,Investment,SME Funding,Mumbai,Teachers Insurance and Annuity Association (TIAA),Equity Based Funding,"3,10,00,000",,Mumbai,Investment,31000000,11/22/2018
140,22/11/2018,Skillbox,Social Network,Art,Gurugram,Individual investors,Seed Funding,Undisclosed,,Gurugram,Social Network,,11/22/2018
141,23/11/2018,Signzy,Financial Tech,Digital Onboarding Solution,Mumbai/Bengaluru,"Stellaris Venture Partners and Kalaari Capital, Rajan Anandan from Google, Dilip Khandwelwal from SAP Labs India, and Amrish Rau from PayU India",Series A,"34,00,000",,Mumbai,FinTech,3400000,11/23/2018
142,24/11/2018,Engineer.ai,Software,AI Platform,India/US,"Lakestar and Jungle Ventures, Softbank\\xe2\\x80\\x99s DeepCore.",Series A,"2,95,00,000",,Unknown,Software,29500000,11/24/2018
143,25/11/2018,InCred Finance,Finance,SME Lending,India,"Paragon Partners, Individual Investors",Private Equity,"4,20,00,000",,Unknown,Finance,42000000,11/25/2018
144,25/11/2018,Roposo,Social Media,Video Sharing,New Delhi,Bertelsmann India Investments,Series B,"17,00,000",,New Delhi,Social Media,1700000,11/25/2018
145,1/10/2018,Northmist,Fashion,Mens Wear,New Delhi,Prashant Jaiswal,Seed/ Angel Funding,,,New Delhi,Fashion,,10/1/2018
146,2/10/2018,Origo Commodities India Pvt. Ltd,Logistics,Supply Chain,Hyderabad,"Cooperative Oikocredit, Caspian and Hivos-Triodos Fund",Seed/ Angel Funding,"1,10,00,000",,Hyderabad,Logistics,11000000,10/2/2018
147,4/10/2018,Grover Zampa,Food,Wine,Mumbai,Ravi Viswanathan,Private Equity,"82,00,000",,Mumbai,Food,8200000,10/4/2018
148,5/10/2018,Droom,Automobile,New and Used Cars Platform,Gurugram,ZigExN,Series E,"30,00,000",,Gurugram,Automobile,3000000,10/5/2018
149,11/10/2018,Innov8,Real Estate,Co-Working,New Delhi,Credence Family Office,Pre-Series A,"40,00,000",,New Delhi,Real Estate,4000000,10/11/2018
150,12/10/2018,Blackbuck,Logistics Tech,Largest Trucking Platform,Bengaluru,Sequoia Capital India,Private Funding,"1,46,80,000",,Bengaluru,Logistics Tech,14680000,10/12/2018
151,12/10/2018,LetsTransport,Logistics Tech,Book Trucks Online,Bengaluru,Fosun International,Series C,"1,20,00,000",,Bengaluru,Logistics Tech,12000000,10/12/2018
152,1/9/2018,Netmeds,Consumer Internet,Online Pharmacy Chain,Chennai,"Sistema Asia Fund, Sistema JSFC and Tanncam Investment",Private Equity,"3,50,00,000",,Chennai,Consumer Internet,35000000,9/1/2018
