"sr_no","date_clean","startup_name","industry_clean","subvertical","city_clean","investors_name","investment_type","amount_clean"
"1","1/9/2020","BYJU’S","E-Tech","E-learning","Bengaluru","Tiger Global Management","Private Equity Round","200000000.0"
"2","1/13/2020","Shuttl","Transportation","App based shuttle service","Gurugram","Susquehanna Growth Equity","Series C","8048394.0"
"3","1/9/2020","Mamaearth","E-Commerce","Retailer of baby and toddler products","Bengaluru","Sequoia Capital India","Series B","18358860.0"
"4","1/2/2020","https://www.wealthbucket.in/","FinTech","Online Investment","New Delhi","Vinod Khatumal","Pre-series A","3000000.0"
"5","1/2/2020","Fashor","Fashion and Apparel","Embroiled Clothes For Women","Mumbai","Sprout Venture Partners","Seed Round","1800000.0"
"6","1/13/2020","Pando","Logistics","Open-market, freight management platform","Chennai","Chiratae Ventures","Series A","9000000.0"
"7","1/10/2020","Zomato","Hospitality","Online Food Delivery Platform","Gurugram","Ant Financial","Private Equity Round","150000000.0"
"8","12/12/2019","Ecozen","Technology","Agritech","Pune","Sathguru Catalyzer Advisors","Series A","6000000.0"
"9","12/6/2019","CarDekho","E-Commerce","Automobile","Gurugram","Ping An Global Voyager Fund","Series D","70000000.0"
"10","12/3/2019","Dhruva Space","Aerospace","Satellite Communication","Bengaluru","Mumbai Angels, Ravikanth Reddy","Seed","50000000.0"
"11","12/13/2019","Rivigo","Technology","Logistics Services and Solutions","Gurugram","SAIF Partners, Spring Canter Investment Ltd.","Series F","20000000.0"
"12","12/17/2019","Healthians","B2B-focused foodtech startup","Food Solutions For Corporate","Bengaluru","Paytm, NPTK, Sabre Partners and Neoplux","Series C","12000000.0"
"13","12/16/2019","Licious","E-Commerce","Online Meat And Seafood Ordering Startup","Bengaluru","Vertex Growth Fund","Series E","30000000.0"
"14","12/16/2019","InCred","Finance","Non-Banking Financial Company","Mumbai","Unknown","Debt Funding","5900000.0"
"15","12/14/2019","Trell","Video","Experience Discovery Platform","Bengaluru","Ruizheng Investment","Seed Round","2000000.0"
"16","12/11/2019","Rein Games","Gaming","Real money based gaming startup","Noida","Manipal Education and Medical Group (MEMG)","Seed Round","50000000.0"
"17","12/20/2019","Lenskart.com","E-Commerce","Online Eyewear Shopping Portal","Faridabad","SoftBank Vision Fund","Series G","231000000.0"
"18","11/13/2019","Freshworks","Software","Business and customer engagement tools","San Francisco","Sequoia, CapitalG, Accel","Series H","150000000.0"
"19","11/14/2019","Misters","Health and wellness","Men's Health and Wellness brand","Gurugram","Sauce.vc, Rainforest Ventures","Series B","486000.0"
"20","11/13/2019","Sunstone Eduversity Pvt. Ltd","Education","Elearning","Gurugram","Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg","Seed","1500000.0"
"21","11/17/2019","Burger Singh","Food & Beverage","Indian Burger Brand","Gurugram","RB Investments","Venture",""
"22","11/18/2019","Healthians","Health and Wellness","Healthcare services","Gurugram","DG Daiwa Ventures, DG Incubation","Series B","12000000.0"
"23","11/15/2019","Ninjacart","B2B Marketing","Agritech","Bengaluru","Trifecta Capital Advisors","Debt Funding","26000000.0"
"24","11/20/2019","Aye Finance","FinTech","Financial Services To MSMEs","Gurugram","FinTech","Debt Funding","17411265.0"
"25","11/12/2019","SuperGaming","Video Games","Social gaming platform","Pune","Dream Incubator","Seed Funding","1300000.0"
"26","11/20/2019","Clumio","SaaS","Recovery software","San Jose,","Altimeter Capital, Sutter Hill Ventures","Series C","135000000.0"
"27","11/11/2019","eBikeGo","Last Mile Transportation","Electric bike rental","Amritsar","Startup Buddy","Seed","300000.0"
"28","11/19/2019","Digital Mall Asia","E-Commerce","Virtual e-commerce platform","New Delhi","Amour Infrastructure","Seed Funding","220000000.0"
"29","11/18/2019","Medikabazaar","Healthcare","B2B platform for medical supplies","Mumbai","Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing","Series B","15800000.0"
"30","11/15/2019","Vogo Automotive","Last Mile Transportation","Scooter sharing app","Bengaluru","Matrix Partners, Stellaris Venture Partners, Kalaari Capital","Series B","283000000.0"
"31","11/19/2019","Furtados School of Music","Education","Music Education","Tulangan","IAN Fund and DSG Consumer Partners","Unknown","200000000.0"
"32","11/25/2019","Paytm","FinTech","Mobile Wallet","Noida","Vijay Shekhar Sharma","Funding Round","1000000000.0"
"33","10/4/2019","Dunzo","Customer Service","Delivery Service","Bengaluru","Lightbox","Series D","45000000.0"
"34","10/2/2019","Udaan","B2B","Business development","Bengaluru","Altimeter Capital, DST Global","Series D","585000000.0"
"35","10/21/2019","The Man Company","Consumer Goods","Beauty and Grooming","Gurugram","Ayushmann Khurana","Corporate Round",""
"36","9/5/2019","FPL Technologies","FinTech","Financial Services","Pune","Matrix Partners India, Sequoia India","Maiden Round","4500000.0"
"37","9/4/2019","Cashflo","FinTech","Invoice discounting platform and SME lending marketplace","Mumbai","SAIF Partners","Series A","3300000.0"
"38","9/4/2019","Digital F5","Advertising, Marketing","Digital marketing firm","Mumbai","TIW Private Equity","Private Equity Round","6000000.0"
"39","9/4/2019","3rdFlix","SaaS","Education Technology","Hyderabad","Exfinity Venture Partners","pre-series A","5000000.0"
"40","9/4/2019","75F","IoT","Building automation system","Burnsville","Breakthrough Energy Ventures","Series A","18000000.0"
"41","9/4/2019","Myelin Foundry","Information Technology","Deep-technology","Bengaluru","Endiya Partners","Seed","1000000.0"
"42","9/4/2019","Atomberg Technology","Consumer Technology","Consumer Electronics, Home Appliances","Mumbai","A91 Partners","Series A","10000000.0"
"43","9/4/2019","GOQii","Health and Wellness","Wearable Fitness Bands","Menlo Park","Bennett Coleman and Company Ltd (BCCL)","Series C","450000000.0"
"44","9/3/2019","Vyapar App","Accounting","Mobile-based Accounting Software","Bengaluru","India Quotient, Axilor Ventures","Series A","5000000.0"
"45","8/1/2019","CarDekho","E-Commerce","Automotive","Gurugram","SC GG India Mobility Holdings LLC","Series C","20000000.0"
"46","8/1/2019","Progcap","Finance","Supply Chain Management","New Delhi","Sequoia India","Series A","5000000.0"
"47","8/1/2019","MyPetrolPump","Retail","Fuel Delivery","Bengaluru","Unknown","Seed Funding Round","1600000.0"
"48","8/1/2019","Alteria Capital","Finance","VC Funds","Mumbai","Azim Premji, Binny Bansal","Single Venture","140000000.0"
"49","8/1/2019","Pine Labs","Information Technology","Last-mile retail transaction technology","Noida","Pine Labs Pte Ltd","Corporate Round","38080000.0"
"50","8/12/2019","Meesho","E-Commerce","Social Commerce","Bengaluru","Naspers","Series D","125000000.0"
"51","8/13/2019","Cars24","E-Commerce","Car Retail","Gurugram","MS Dhoni","Series D","11000000.0"
"52","8/13/2019","Uniphore","Customer Service Platform","Conversational AI","Palo Alto","March Capital Partners","Series C","51000000.0"
"53","8/23/2019","Zendrive","Automobile","Road Safety Analytics","San Francisco","XL Innovate","Series B","37000000.0"
"54","8/23/2019","Lo! Foods","Consumer Goods","Low carb food for Diabetics","Bengaluru","Rashmi Daga (founder, FreshMenu), Raveen Sastry (co-founder, Myntra) and Mitesh Shah (finance chief, BookMyShow)","Seed Round","500000.0"
"55","8/23/2019","Tala","FinTech","Digital Lending Platform","Santa Monica","RPS Ventures","Series D","110000000.0"
"56","8/22/2019","INDwealth","FinTech","Wealth Management","Gurugram","Tiger Global Management","Venture Round","15000000.0"
"57","8/21/2019","HungerBox","Food & Beverage","B2B Foodtech","Bengaluru","One97 Communications Ltd.","Series C","6590000.0"
"58","8/23/2019","AdmitKard","EdTech","University Admissions","Noida","Growth DNA","Seed Round","1000000.0"
"59","8/19/2019","Mishry Reviews","Services","Product Review","Gurugram","Vir Sanghvi","Series A",""
"60","8/19/2019","Grofers","E-Commerce","Grocery Delivery","Gurugram","Softbank Vision Fund","Series F","70000000.0"
"61","8/27/2019","Rapido Bike Taxi","Transportation","Bike Taxi","Bengaluru","Westbridge Capital","Series B","3900000000.0"
"62","7/2/2019","RenewBuy","Finance","Auto Insurance","Gurugram","Lok Capital, IIFL Wealth","Series B","19000000.0"
"63","7/2/2019","Atlan","Information Technology","Big Data","Singapore","WaterBridge Ventures","Pre-Series A","2500000.0"
"64","7/1/2019","WizCounsel","Compliance","Consulting","New Delhi","Kapil Dev","Angel","145000.0"
"65","7/3/2019","Ola Cabs","Transportation","Cabs","Bengaluru","DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury","Series J","1000000.0"
"66","7/1/2019","Uniphore","Artificial Intelligence","Speech Recognition","Chennai","March Capital Partners","Series C","38080000.0"
"67","7/4/2019","Daalchini Technologies","Food & Beverage","Digital Vending Machine","New Delhi","Artha Venture","Seed Round","500000.0"
"68","7/10/2019","""BYJU\\'S""","EdTech","Education","Bengaluru","Qatar Investment Authority","Private Equity Round","150000000.0"
"69","7/11/2019","Moglix","E-Commerce","Industrial Tools and Equipments","Singapore","Composite Capital Management, Sequoia Capital India, Tiger Global Management","Series D","60000000.0"
"70","7/10/2019","Ezyhaul","Tech","Logistics","Singapore","Undisclosed","Series B","16000000.0"
"71","7/10/2019","Indus OS","Tech","Smartphone Operating System","Mumbai","Ventureast","Series B","5750000.0"
"72","7/10/2019","HealthAssure","Healthcare","Primary care medical network","Mumbai","Blume Ventures","Series A","2500000.0"
"73","7/9/2019","House of Msasaba","Luxury Label","Clothes and Apparel","Mumbai","Binny Bansal","Series A","1000000.0"
"74","7/8/2019","Board Infinity","EdTech","Full-stack career platform","Mumbai","Multiple Angel Investors","Angel Round","319605.0"
"75","6/5/2019","NoBroker","E-Commerce","Real Estate","Bengaluru","General Atlantic","Series C","51000000.0"
"76","6/4/2019","Bira91","Food & Beverage","Brewery","New Delhi","Anicut Capital","Debt Funding","10000000.0"
"77","6/3/2019","FabHotels","E-Commerce","Hospitality","Gurugram","Goldman Sachs, Accel Partners and Qualcomm","Unknown","4889975.54"
"78","6/3/2019","Avail Finance","Finance","FinTech","Bengaluru","Matrix Partners","Series A","9000000.0"
"79","6/4/2019","BharatPe","Finance","FinTech","New Delhi","Insight Partners","Series B","75000000.0"
"80","6/4/2019","Recykal","Waste Management Service","Optimization","Hyderabad","Triton Investment Advisors, Pidilite Industries director Ajay Parekh","pre-Series A","26000000.0"
"81","6/3/2019","Agara Labs","Deep-Tech","Artificial Intelligence","Bengaluru","Blume Ventures and RTP Global","pre-Series A","2500000.0"
"82","6/6/2019","Sistema.bio","Agriculture","Hybrid Reactor Biodigestor","Nairobi","Shell Foundation, DILA CAPITAL, Engie RDE Fund, EcoEnterprise Fund, EDFIMC (ElectriFI), Endeavor Catalyst Fund, CoCapital, Triodos, Alpha Mundi, and Lendahand","Unknown","2739034.68"
"83","6/6/2019","Chakr Innovation","Energy","Renewable Energy","New Delhi","IAN Fund","Series A","26000000.0"
"84","6/6/2019","Pratilipi","Digital Media","E-Books","Bengaluru","Qiming Venture Partners","Series B","15109500.0"
"85","6/10/2019","Bolo App","Digital Media","Video Platform","Bengaluru","Nexus Venture Partners","Seed Funding","430200.0"
"86","6/10/2019","OkCredit","FinTech","Financial Services","Unknown","Tiger Global Management","Series A","15500000.0"
"87","6/6/2019","Biz2Credit","FinTech","Online Lending Platform","New York","WestBridge Capital","Series B","52000000.0"
"88","6/8/2019","Vogo Automotive Pvt. Ltd.","Transportation","Dockless Scooter Rental Company","Unknown","Alteria Capital","Debt Funding","3584000.0"
"89","6/4/2019","Leegality","Services","Digital Documentation","Mumbai","Mumbai Angels","Series A","3400000.0"
"90","5/6/2019","Ola Electric","Transportation","Cabs","Bengaluru","Tata Sons","Series A",""
"91","5/6/2019","Saahas Zero Waste","Waste Management Service","Optimization","Bengaluru","C4D Partners","Venture - Series Unknown","868600.0"
"92","5/5/2019","StyleDotMe","E-Commerce","Fashion and Shopping","New Delhi","Indian Angel Network and other angel investors, Innov8 founder Ritesh Malik, Josh Talks founders Supriya Paul and Shobha Banga, and former Hero Corporate president Rohit Chanana","Bridge Round",""
"93","5/1/2019","BlackBuck","Transportation","Logistics","Bengaluru","Goldman Sachs Investment Partners and Silicon Valley-based Accel, Wellington, Sequoia Capital, B Capital, LightStreet, Sands Capital and International Finance Corporation,","Series D","150000000.0"
"94","5/2/2019","Zenoti","SaaS","Beauty and Wellness Industry","Hyderabad","Tiger Global Management","Series C","50000000.0"
"95","5/28/2019","Ather Energy","Automobile","Electric Vehicle","Bengaluru","Sachin Bansal","Series C","51000000.0"
"96","5/28/2019","FreshVnF","Agtech","Fresh Agriculture Produces","Mumbai","Equanimity Ventures","Seed Round","140000000.0"
"97","5/30/2019","GlowRoad","E-Commerce","Retail","Bengaluru","Korea Investment Partners, Vertex Ventures","Series B","11500000.0"
"98","5/31/2019","Bira91","Food & Beverage","Brewery","New Delhi","Sixth Sense Ventures","Series B","5600000.0"
"99","4/16/2019","Kuvera","Finance","Wealth Management","Bengaluru","Eight Roads","Series A","45000000.0"
"100","4/12/2019","Medlife","E-Commerce","Online Medicine","Bengaluru","Prasid Uno Family Trust","Private Equity","17000000.0"
"101","4/10/2019","Kabadiwala","E-Commerce","Waste Management","Bhopal","Unilever, Beehive Capital Advisor, ABCOM Investments, Parekh Marine Transport,","Private Equity","430665.0"
"102","4/13/2019","Tripoto","Social Media","Travel","New Delhi","Orchid India, Hornbill Orchid India Fund, Chiratae Ventures (formerly IDG Ventures), 3one4 Capital, Lasmer NV","Series B","3591375.0"
"103","4/12/2019","Azah","Health and Wellness","Organic wellness","Gurugram","Unnamed angel investors","Seed Funding","200000.0"
"104","4/11/2019","Setu","FinTech","Banking","Bengaluru","Lightspeed India Partners","Seed Funding","3500000.0"
"105","4/10/2019","Toppr","EdTech","E-learning","Mumbai","Milestone","Debt and Preference capital","6320820.0"
"106","4/10/2019","Craftsvilla","E-Commerce","Fashion and Apparel","Mumbai","Supera Pte Ltd","Inhouse Funding","2443495.0"
"107","4/10/2019","Unacademy","EdTech","E-learning","Bengaluru","Kalyan Krishnamurthy","Seed/ Angel Funding","307000.0"
"108","4/11/2019","CleverTap","SaaS","Mobile analytics and marketing","Mumbai","Sequoia India, Tiger Global Management, Accel Partners","Series B","26000000.0"
"109","4/19/2019","My Healthcare","E-Commerce","Software Solutions","Bengaluru","Sixth Sense Ventures","Series A","3000000.0"
"110","4/19/2019","KrazyBee","E-Commerce","Lending Platform","Bengaluru","BAC Acquisitions, Unifi AIF, BRD Securities, Northern R Capital","Debt","14342000.0"
"111","4/17/2019","Shuttl","Transportation","Bus Aggregation","Gurugram","New Atlantic Ventures","Venture Round","5000000.0"
"112","4/17/2019","Increff","Technology","Supply-chain technology solutions","Bengaluru","021 Capita, Binny Bansal","Series A","3000000.0"
"113","2/1/2019","FleetX","AI","Logistics","Gurugram","India Quotient and LetsVenture\\xe2\\x80\\x99s Angel Fund","Pre Series A",""
"114","2/8/2019","Zilingo","E-Commerce","Fashion & Apparel","Unknown","Sequoia Capital and Temasek Holdings, EDBI, Burda Principal Investments, and Sofina","Series D","226000000.0"
"115","2/13/2019","NanoClean Global","Nanotechnology","Anti-Pollution","New Delhi","LetsVenture, PitchRight Venture, 91SpringBoard, AL Nour International Holdings and Mark V Investments","Series A","600000.0"
"116","2/14/2018","OyoRooms","Hospitality","Budget Rooms","Gurugram","DiDi Chuxing","Equity","100000000.0"
"117","1/3/2019","CarDekho","Automobile","Online Marketplace","Jaipur","Sequoia India, Hillhouse Capital, Alphabet\\xe2\\x80\\x99s growth investment arm Capital G and Axis Bank","Series C","110000000.0"
"118","1/4/2019","Vyome Therapeutics Inc.","Health and Wellness","Specialty pharmaceutical","Unknown","Iron Pillar, Perceptive Advisors, Romulus Capital and Kalaari Capital","Series D","22000000.0"
"119","1/4/2019","Samunnati Financial Intermediation & Services Pvt. Ltd","Finance","Non-banking financial company","Chennai","MASSIF, a Dutch government fund","Debt-Funding","5000000.0"
"120","12/4/2018","Manch","Social Media","Hyperlocal Content","New Delhi","Stellaris Venture Partners","Seed Funding","700000.0"
"121","12/1/2018","UrbanClap Technologies Pvt. Ltd","Services Platform","Home services marketplace","New Delhi","Steadview Capital and Vy Capital.","Series D","50000000.0"
"122","12/2/2018","Guiddoo","Travel Tech","Platform for travel agents","Mumbai","Individual Investors","Pre-Series A","800000.0"
"123","12/2/2018","Career Anna","Online Education","Video-based certification, trainings","Gurugram","Individual Investors","Pre-Series A","572000.0"
"124","12/4/2018","Nagpur Wholesale","Online Marketplace","eCommerce","Nagpur","Omphalos Ventures India LLP","Seed Funding","143000.0"
"125","12/6/2018","ShopKirana","B2B","eCommerce","Indore","Info Edge, AET Fund, Akatsuki and Incubate Fund from Japan and Better Capital AngelList syndicate.","Seed Funding","2000000.0"
"126","12/6/2018","BuildSupply","SaaS, Ecommerce","Real Estate, ERP","Gurugram","Venture Highway, GREE Ventures, Space Matrix, Individual Investors","Series A","3500000.0"
"127","11/1/2018","GoDesi","Food & Beverage","Regional Flavours","Bengaluru","Lead Angels Network","Seed/ Angel Funding","138995.0"
"128","11/3/2018","Veritas Finance Ltd.","NBFC","MSME Finance","Chennai","Norwest Venture Partners, CDC Group, the UK\\xe2\\x80\\x99s Development Finance Institution and P Surendra Pai","Series D","27799000.0"
"129","11/6/2018","Meesho","E-Commerce","Social Commerce","Bengaluru","Shunwei Capital, DST Partners and RPS Ventures","Series C","50000000.0"
"130","11/8/2018","Mobile Premier League","Gaming","Mobile e-Sports","Bengaluru","Undisclosed","Series A","500000.0"
"131","11/8/2018","A&R Bon Vivants","Food","Meat Retail Chain","Jaipur","RB Investments, Singapore","Equity","1000000.0"
"132","11/12/2018","Blackbuck","Food Tech","POS For Online Ordering","Bengaluru","Tiger Global","Series A","1000000.0"
"133","11/12/2018","MilkBAsket","Food","Micro-delivery grocery service","New Delhi","Mayfield Fund","Series B","1300000.0"
"134","11/13/2018","DriveU","Transportation","On-Demand Drivers","Bengaluru","Stevens Creek Ventures","Mezzanine","1000000.0"
"135","11/14/2018","CleanseCar","Services","Car Wash","Bengaluru","Venture Catalysts","Seed/ Angel Funding","500000.0"
"136","11/19/2018","Automation Anywhere","Automation","Robotics","Unknown","SoftBank Vision Fund","Series B","300000000.0"
"137","11/20/2018","HealthifyMe","Health and Wellness","Wellness Coach","Bengaluru","Sistema Asia Fund, VC Samsung NEXT, Chiratae Ventures, Inventus Capital, Blume Ventures and Innoven Capital.","Series B (Extension)","6000000.0"
"138","11/21/2018","Genius Corner","Education","Personalized Learning","Noida","Individual investors","Seed Funding","278000.0"
"139","11/22/2018","Aavishkaar-Intellecap Group","Investment","SME Funding","Mumbai","Teachers Insurance and Annuity Association (TIAA)","Equity Based Funding","31000000.0"
"140","11/22/2018","Skillbox","Social Network","Art","Gurugram","Individual investors","Seed Funding",""
"141","11/23/2018","Signzy","FinTech","Digital Onboarding Solution","Mumbai","Stellaris Venture Partners and Kalaari Capital, Rajan Anandan from Google, Dilip Khandwelwal from SAP Labs India, and Amrish Rau from PayU India","Series A","3400000.0"
"142","11/24/2018","Engineer.ai","Software","AI Platform","Unknown","Lakestar and Jungle Ventures, Softbank\\xe2\\x80\\x99s DeepCore.","Series A","29500000.0"
"143","11/25/2018","InCred Finance","Finance","SME Lending","Unknown","Paragon Partners, Individual Investors","Private Equity","42000000.0"
"144","11/25/2018","Roposo","Social Media","Video Sharing","New Delhi","Bertelsmann India Investments","Series B","1700000.0"
"145","10/1/2018","Northmist","Fashion","Mens Wear","New Delhi","Prashant Jaiswal","Seed/ Angel Funding",""
"146","10/2/2018","Origo Commodities India Pvt. Ltd","Logistics","Supply Chain","Hyderabad","Cooperative Oikocredit, Caspian and Hivos-Triodos Fund","Seed/ Angel Funding","11000000.0"
"147","10/4/2018","Grover Zampa","Food","Wine","Mumbai","Ravi Viswanathan","Private Equity","8200000.0"
"148","10/5/2018","Droom","Automobile","New and Used Cars Platform","Gurugram","ZigExN","Series E","3000000.0"
"149","10/11/2018","Innov8","Real Estate","Co-Working","New Delhi","Credence Family Office","Pre-Series A","4000000.0"
"150","10/12/2018","Blackbuck","Logistics Tech","Largest Trucking Platform","Bengaluru","Sequoia Capital India","Private Funding","14680000.0"
"151","10/12/2018","LetsTransport","Logistics Tech","Book Trucks Online","Bengaluru","Fosun International","Series C","12000000.0"
"152","9/1/2018","Netmeds","Consumer Internet","Online Pharmacy Chain","Chennai","Sistema Asia Fund, Sistema JSFC and Tanncam Investment","Private Equity","35000000.0"
"153","9/3/2018","Udaan","B2B Platform","Logistics and Shipping","Bengaluru","DST Global and Lightspeed Venture Partners\\xe2\\x80\\x99 global fund.","Private Equity","225000000.0"
"154","9/3/2018","Daily hunt","Consumer Internet","News and ebooks Mobile App\\xc2\\xa0","Bengaluru","Falcon Edge","Private Equity","6390000.0"
"155","9/4/2018","3HCare","Healthcare","Healthcare Service Provider","New Delhi","Unknown","Seed / Angel Funding","1000000.0"
"156","9/4/2018","HappyGoEasy","Consumer Internet","Online Travel Agecy","Gurugram","Korea Investment Partners (KIP), Samsung and China-based CITIC Capital and others","Private Equity",""
"157","9/5/2018","Nykaa","Consumer Internet","Online Marketplace For Multi-brand Beauty Cosmetic and Wellness Products","Mumbai","Lighthouse","Private Equity","157200000.0"
"158","9/5/2018","Mad Street Den","Technology","Computer Vision And Artificial Intelligence (Ai) Platform","Chennai","KDDI\\xc2\\xa0","Private Equity",""
"159","9/6/2018","Dream11","Consumer Internet","Online Gaming Platform","Mumbai","Tencent, Kalaari Capital and Private equity firm Multiples Alternate Asset Management","Private Equity","100000000.0"
"160","9/10/2018","MamaEarth","Healthcare","Online Marketplace For Mother and Babycare Products","Gurugram","Stellaris Ventures & Others","Private Equity","4000000.0"
"161","9/11/2018","AutoGrid","Technology","AI-Based Energy Optimisation and Control Provider","Bengaluru","CLP Holdings Group, Innogy, \\xc3\\x98rstead, and Tenaska","Private Equity","32000000.0"
"162","9/11/2018","Pharmeasy","Consumer Internet","Online Marketplace For Pharmaceutical Products","Mumbai","InnoVen Capital","Debt Funding","5500000.0"
"163","9/11/2018","Upwards","FinTech","Online Micro Lending Marketplace","Mumbai","Shunwei Capital,Quotient, Mayfield & Others","Private Equity","5000000.0"
"164","9/12/2018","Kissht","FinTech","Online lending Platform","Mumbai","Vertex Ventures Southeast Asia (SEA) and India and Sistema Asia Fund, Fosun RZ Capital, Ventureast, and Endiya Partners.\\n\\n","Private Equity","30000000.0"
"165","8/1/2018","dishq","Food-Tech","Personalisation Technology Firm Focusing On The Food And Beverage Industry","Bengaluru","Farm To Fork, Arts Alliance, The Syndicate Fund, Sven Hensen, Zeroth and Artesian Venture Partners","Seed/ Angel Funding","400000.0"
"166","8/1/2018","HealthFin","Finance","Patient Financing Platform","Pune","Axilor, Sprout Venture Partners and others","Seed/ Angel Funding",""
"167","8/2/2018","Samosa Labs","Consumer Internet","Social Media and Chat Entertainment Platform","Hyderabad","Xiaomi and Sequoia Capital India","Private Equity","7000000.0"
"168","8/3/2018","ZiffyHomes","Consumer Internet","Online Home Rental Marketplace","Gurugram","Y Combinator","Private Equity","120000.0"
"169","8/7/2018","My OmNamo","Consumer Internet","Holy Platform Offering Customised Puja Packages To Individuals and Corporates","Mumbai","Unknown","Seed/ Angel Funding","1000000.0"
"170","8/7/2018","ShopX","Consumer Internet","Assisted E-commerce Platform","Bengaluru","Fung Strategic Holdings","Private Equity","35000000.0"
"171","8/7/2018","MakeMyTrip","Consumer Internet","Online Travel Aggregator","Gurugram","MakeMyTrip Limited","Private Equity","10000000.0"
"172","8/8/2018","Hansel io","Consumer Internet","Real-time Mobile App Management","Bengaluru","Vertex Ventures","Seed/ Angel Funding","4000000.0"
"173","8/8/2018","Metro Bikes","Consumer Internet","Online Bike Rental Marketplace","Bengaluru","Sequoia Capital India Advisors, Accel Partners and G Raghunandan","Private Equity","12200000.0"
"174","8/8/2018","Phone Pe","Consumer Internet","UPI Payments App","Bengaluru","Flipkart","Private Equity","66000000.0"
"175","8/9/2018","quizizz","EdTech","e-learning Platform","Bengaluru","Nexus Venture Partners, Prime Venture Partners and Others","Seed/ Angel Funding","3000000.0"
"176","8/9/2018","Happy EMI","FinTech","Consumer Financing Platform","Bengaluru","AJ Ventures and Jain International Trade Organisation (JITO)","Seed/ Angel Funding","1000000.0"
"177","8/13/2018","Inthree","Consumer Internet","Rural E-commerce Platform","Chennai","Ventureast, Orios Venture Partners and the IAN Fund","Seed/ Angel Funding","4000000.0"
"178","8/13/2018","Observe AI","Technology","AI Based Solutions Platform","Bengaluru","Nexus Venture Partners, MGV, Liquid 2 Ventures, Hack VC, Emergent Ventures and Y Combinator","Private Equity","8000000.0"
"179","8/16/2018","Enakshi","Consumer Internet","AI Based Solutions Platform","Ahmedabad","Unknown","Seed/ Angel Funding","114811.0"
"180","8/17/2018","EazyDiner","Consumer Internet","Online Restaurant Table Reservation Platform","Gurugram","Denlow Investment Trust and Beenext","Private Equity","5850000.0"
"181","8/20/2018","Finzy","Finance","Online Loan Matchmaking Platform","Bengaluru","Unknown","Seed / Angel Funding","1000000.0"
"182","8/20/2018","RawPressery","Consumer Internet","Online Organic Juice Delivery Service","Mumbai","Alteria Capital","Debt Funding","4800000.0"
"183","8/22/2018","Pi Ventures","Technology","Applied Artificial Intelligence and IoT focused\\xc2\\xa0Platform","Bengaluru","CDC Group plc\\xc2\\xa0","Private Equity","6000000.0"
"184","8/22/2018","Revv","Consumer Internet","Online Indian Car Rental Platform","Gurugram","Hyundai, Edelweiss and Beenext, Dream Incubator, Sunjay Kapoor and Telama Investment","Private Equity","14270000.0"
"185","8/26/2018","ZestMoney","Consumer Internet","Online Lending Platform","Bengaluru","Xiaomi,PayU, Ribbit Capital and Omidyar Network","Private Equity","13400000.0"
"186","8/26/2018","Shubh Loans","FinTech","\\xc2\\xa0Customer Sourcing Platform\\xc2\\xa0","Bengaluru","Saama Capital, SRI Capital, Beenext, and Pravega Ventures","Private Equity","4200000.0"
"187","8/27/2018","MyUpchar","Healthcare","Local Language Health Content App","New Delhi","Nexus Venture Partners, Omidyar Network and Shunwei Capital","Private Equity","5000000.0"
"188","8/28/2018","Narvar","Information Technology","Post-Purchase Customer Engagement Platform\\xc2\\xa0","Bengaluru","Accel (formerly known as Accel Partners)","Private Equity","3000000.0"
"189","8/30/2018","True North","Finance","Private Equity Firm","Mumbai","Unknown","Private Equity","600000000.0"
"190","7/1/2018","Leena AI","Technology","HR Virtual Agent For Employees","Gurugram","Y Combinator","Seed/ Angel Funding",""
"191","7/2/2018","Biryani By Kilo","Consumer Internet","Online Food Delivery","Gurugram","Ajay Relan and Vinay Mittal","Seed/ Angel Funding","1000000.0"
"192","7/4/2018","Anchanto","Information Technology","E-commerce Fulfilment Platform","Pune","MDI Ventures & Telkom Indonesia","Private Equity","4000000.0"
"193","7/5/2018","Loan Tap","Consumer Internet","Online Lending Platform For Salaried Professionals","Mumbai","Shunwei Capital, Tuscan Ventures, Ashish Goenka, VC firms India Quotient and Kae Capital","Private Equity","6250000.0"
"194","7/6/2018","PolicyBazaar","Consumer Internet","Online Insurance Selling Platform","Gurugram","Info Edge (India) Ltd and Temasek","Private Equity","27700000.0"
"195","7/9/2018","zippserv","Consumer Internet","Online Platform For Risk-Assessment Services For Real Estate Investments","Bengaluru","Info Edge (India) Ltd","Seed/ Angel Funding","440000.0"
"196","7/9/2018","Groww","Consumer Internet","Online Platform That Sells Direct Plans Of Mutual Funds","Bengaluru","Insignia Ventures Partners, Lightbridge Partners & Kairos","Seed/ Angel Funding","1100000.0"
"197","7/10/2018","Avenue Growth","Consumer Internet","Online Platform That Connects Brands With Freelance Sales Professionals","Gurugram","Avtar Monga, chief operating office at IDFC Bank, Aditya Malik & Others","Seed/ Angel Funding","437000.0"
"198","7/10/2018","iNICU","Healthcare","Med-tech Platform Providing Care For Newborns","New Delhi","Venture Catalysts","Seed/ Angel Funding",""
"199","7/10/2018","Kinara Capital","Finance","Lending Platform For Micro and Small Enterprises","Bengaluru","ResponsAbility","Private Equity","5000000.0"
