"sr_no","date_clean","startup_name","industry_clean","subvertical","city_clean","investors_name","investment_type","amount_clean"
"1878","3/21/2016","OneClickWash","Consumer Internet","Online Laundry & Washing service Booking & Delivery","Gurugram","Unitus Seed Fund","Seed Funding",""
"1879","3/21/2016","Girnar Software","Consumer Internet","Online News Media Network","Jaipur","Google Capital","Private Equity",""
"1880","3/21/2016","Room On Call","Consumer Internet","Budget hotel aggregator","Gurugram","CASHurDRIVE Marketing Pvt Ltd","Private Equity","2000000.0"
"1881","3/22/2016","Byju\\xe2\\x80\\x99s","Consumer Internet","Educational Video Content Creator","Bengaluru","Sequoia India, Sofina","Private Equity","75000000.0"
"1882","3/22/2016","BigBasket","E-Commerce","Online Grocery Shop","Bengaluru","Abraaj Group","Private Equity","150000000.0"
"1883","3/22/2016","DrivoJoy","Consumer Internet","On-demand 2-wheeler Servicing platform","Bengaluru","Indian Angel Network, Tracxn Labs & Others","Seed Funding","600000.0"
"1884","3/22/2016","Smartron","Technology","Internet of Things Device manufacturer","Bengaluru","Sachin Tendulkar","Private Equity",""
"1885","3/22/2016","LifCare","Consumer Internet","Online Pharmacy portal","Jaipur","Rajul Garg, Alok Mittal, Kunal Shah, Rishi Mandawat, Dheeraj Jain, Sandeep Tandon, Dexter Angel Circle","Seed Funding",""
"1886","3/22/2016","CreditSeva","Consumer Internet","Online Credit management tools","Hyderabad","Pix Vine Capital, Infocomm Development Authority of Singapore","Seed Funding","360000.0"
"1887","3/22/2016","CityShor","Consumer Internet","online lifestyle media recommendation portal","Ahmedabad","GAIN","Seed Funding",""
"1888","3/23/2016","Endless Robotics","Technology","Interior Painting Automation","Hyderabad","Devidas Desai, Vipul Gautam, Singapore Angel Network","Seed Funding","100000.0"
"1889","3/23/2016","SP Robotics","Technology","Robotic Classes for Students","Chennai","Indian Angel Network,","Seed Funding","300000.0"
"1890","3/23/2016","StalkBuyLove","E-Commerce","Fashion eTailer","New Delhi","500 Startups, Littlerock, Singularity Ventures","Seed Funding",""
"1891","3/23/2016","eKincare","Consumer Internet","Healthcare related solutions","Hyderabad","BitChemy Ventures, Maheshwari Investments Pvt Ltd, Anshoo Gaur, Rama Krishna Reddy, Sandeep Seerapu","Private Equity","330000.0"
"1892","3/23/2016","HashLearn","Consumer Internet","Mobile based private tutoring services","Unknown","Bhavish Aggarwal, Binny Bansal,\\xc2\\xa0 Rajan Anandan, Mekin Maheshwar, Sunil Kalra, Anupam Mittal, Krishna Mehra, Singapore Angel Network","Seed Funding",""
"1893","3/23/2016","Wheelstreet","Consumer Internet","Online Bike Rental platform","Bengaluru","Broadbean Capital services","Private Equity","500000.0"
"1894","3/24/2016","Horntell","Consumer Internet","Unified Push Notification service","Gurugram","Bharanidharan Viswanathan, Sanjiv Mittal, Shobhit Shukla, Rahul Agarwal","Seed Funding","150000.0"
"1895","3/28/2016","Schoolkart","E-Commerce","Online Marketplace for Schools","Noida","Undisclosed investors","Seed Funding","300000.0"
"1896","3/29/2016","HealthEminds","Consumer Internet","Online mental healthcare","Bengaluru","Robin Utthappa","Seed Funding",""
"1897","3/29/2016","Babygogo","Consumer Internet","Child healthcare experts aggregator mobile app","New Delhi","Rajul Garg, Daljit Singh, Aditya Vij, Kishore Kumar, Shuchin Bajaj","Seed Funding","300000.0"
"1898","3/29/2016","Veritas Finance","Finance","Asset Based Lending platform","Chennai","Sarva Capital","Private Equity","4700000.0"
"1899","3/29/2016","QikShip","Consumer Internet","Mobile based Logistics provider","New Delhi","undisclosed investors","Seed Funding","200000.0"
"1900","3/29/2016","FixNix","Consumer Internet","GRC SAAS Platform","Chennai","Jay Vijayan","Seed Funding","500000.0"
"1901","3/30/2016","True Balance","Technology","Mobile Balance Check App","Gurugram","SoftBank Ventures Korea","Private Equity",""
"1902","3/30/2016","Touchkin","Healthcare","Predictive Healthcare platform","Bengaluru","Alok Mittal, Amit Gupta, Anuj Srivastava, Himanshu Aggarwal, Raghunandan G, Puneet Agarwal","Seed Funding","400000.0"
"1903","3/31/2016","SwitchMe","Consumer Internet","Home Loan Rate comparison platform","Mumbai","Mohandas Pai, Hiro Mashita, Singapore Angel Network, 500 Startups, Rajan Anandan, Ajay Sarupria","Seed Funding",""
"1904","3/31/2016","Transcell","Healthcare","Family Stem Cell Banking Services","Hyderabad","Indian Angel Network","Seed Funding",""
"1905","2/1/2016","Blue Tokai Coffee","E-Commerce","Specialty Coffee Etailer","New Delhi","Snow Leopard Technology Ventures","Seed Funding",""
"1906","2/2/2016","Altizone","Technology","IoT & M2M Solutions","Pune","Wipro Ventures,\\xc2\\xa0 Lumis Partners","Private Equity","4000000.0"
"1907","2/2/2016","Oust App","Consumer Internet","Competitive Exam Preparation Platform","Bengaluru","T V Mohandas Pai,\\xc2\\xa0 Aarin Capital","Seed Funding",""
"1908","2/2/2016","Strike","Consumer Internet","Mobile Email productivity tool","Bengaluru","Multiple investors through Ten Minute Million competition","Seed Funding","22500.0"
"1909","2/2/2016","MaaxMarket","Consumer Internet","Marketing Automation platform","Unknown","Multiple investors through Ten Minute Million competition","Seed Funding","22500.0"
"1910","2/2/2016","Gamooz","Technology","Augmented Reality Solutions","Gurugram","Multiple investors through Ten Minute Million competition","Seed Funding","22500.0"
"1911","2/2/2016","SoundSurround","Technology","Audio Technology Solutions","Mumbai","Multiple investors through Ten Minute Million competition","Seed Funding","22500.0"
"1912","2/3/2016","Mazkara","Consumer Internet","Beauty & Wellness Platform","Pune","Dunamis Ventures Pte Ltd.","Seed Funding","1000000.0"
"1913","2/3/2016","RoadGods","E-Commerce","Auto Spare Parts eTailer","New Delhi","Green House Ventures (GHV)","Seed Funding","100000.0"
"1914","2/3/2016","Pindropmusic","Consumer Internet","Music Discovery Mobile App","Noida","Green House Ventures (GHV)","Seed Funding","100000.0"
"1915","2/3/2016","Woodpie","Consumer Internet","Book Recommendation Service","Bengaluru","Ingram Content Group","Seed Funding","30000.0"
"1916","2/4/2016","Perfumery","E-Commerce","Fragrances & Perfume eTailer","New Delhi","Oranda Global & Others","Seed Funding","30000.0"
"1917","2/5/2016","Magic Crate","Education","Children Education Platform","Bengaluru","TV Mohandas Pai, Aarin Capital","Seed Funding",""
"1918","2/5/2016","ZenDrive","Technology","Safe Driving Data & Analytics platform","Bengaluru","Sherpa Capital, Nyca Partners and Thomvest Ventures","Private Equity","13500000.0"
"1919","2/5/2016","Smartcooky","E-Commerce","Marketplace for Health Foods","New Delhi","Vandana Luthra,","Private Equity",""
"1920","2/5/2016","Turtlemint","Consumer Internet","online personalized insurance platform","Mumbai","Nexus Venture Partners","Private Equity",""
"1921","2/5/2016","BHIVE","Real Estate","Workspace Rentals","Bengaluru","Raghunandan G, Venturesity, Arihant Patni","Seed Funding",""
"1922","2/5/2016","Gingercrush","E-Commerce","Personalized Products & Merchandize eTailer","Vadodara","Saha Fund, TV Mohandas Pai, Zia Mody, Mumbai Angels, Ananda Kallugadde, Rakesh Desai, Rakesh Malhotra","Private Equity","1000000.0"
